client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
0,0,0,0,False,False,2022-05-13
1,0,0,0,False,False,2022-05-19
2,0,0,0,False,False,2022-05-23
3,0,0,0,False,False,2022-05-27
4,0,0,0,False,False,2022-05-03
5,0,0,0,False,False,2022-05-05
6,0,0,0,False,False,2022-05-03
7,0,0,0,False,False,2022-05-12
8,0,0,0,False,False,2022-05-21
9,0,0,0,False,False,2022-05-05
10,0,0,0,False,False,2022-05-08
11,0,0,0,False,False,2022-05-09
12,0,0,0,False,False,2022-05-29
13,0,0,0,False,False,2022-05-14
14,0,0,0,False,False,2022-05-29
15,0,0,0,False,False,2022-05-29
16,0,0,0,False,False,2022-05-01
17,0,0,0,False,False,2022-05-09
18,0,0,0,False,False,2022-05-06
19,0,0,0,False,False,2022-05-02
20,0,0,0,False,False,2022-05-02
21,0,0,0,False,False,2022-05-16
22,0,0,0,False,False,2022-05-20
23,0,0,0,False,False,2022-05-10
24,0,0,0,False,False,2022-05-02
25,0,0,0,False,False,2022-05-28
26,0,0,0,False,False,2022-05-30
27,0,0,0,False,False,2022-05-16
28,0,0,0,False,False,2022-05-01
29,0,0,0,False,False,2022-05-22
30,0,0,0,False,False,2022-05-22
31,0,0,0,False,False,2022-05-27
32,0,0,0,False,False,2022-05-25
33,0,0,0,False,False,2022-05-14
34,0,0,0,False,False,2022-05-25
35,0,0,0,False,False,2022-05-22
36,0,0,0,False,False,2022-05-11
37,0,0,0,False,False,2022-05-03
38,0,0,0,False,False,2022-05-02
39,0,0,0,False,False,2022-05-20
40,0,0,0,False,False,2022-05-05
41,0,0,0,False,False,2022-05-25
42,0,0,0,False,False,2022-05-22
43,0,0,0,False,False,2022-05-01
44,0,0,0,False,False,2022-05-17
45,0,0,0,False,False,2022-05-28
46,0,0,0,False,False,2022-05-15
47,0,0,0,False,False,2022-05-03
48,0,0,0,False,False,2022-05-26
49,0,0,0,False,False,2022-05-26
50,0,0,0,False,False,2022-05-03
51,0,0,0,False,False,2022-05-09
52,0,0,0,False,False,2022-05-11
53,0,0,0,False,False,2022-05-13
54,0,0,0,False,False,2022-05-12
55,0,0,0,False,False,2022-05-08
56,0,0,0,False,False,2022-05-17
57,0,0,0,False,False,2022-05-08
58,0,0,0,False,False,2022-05-08
59,0,0,0,False,False,2022-05-18
60,0,0,0,False,False,2022-05-03
61,0,0,0,False,False,2022-05-23
62,0,0,0,False,False,2022-05-27
63,0,0,0,False,False,2022-05-29
64,0,0,0,False,False,2022-05-19
65,0,0,0,False,False,2022-05-15
66,0,0,0,False,False,2022-05-16
67,0,0,0,False,False,2022-05-21
68,0,0,0,False,False,2022-05-29
69,0,0,0,False,False,2022-05-04
70,0,0,0,False,False,2022-05-28
71,0,0,0,False,False,2022-05-26
72,0,0,0,False,False,2022-05-18
73,0,0,0,False,False,2022-05-14
74,0,0,0,False,False,2022-05-26
75,0,0,0,False,True,2022-05-20
76,0,0,0,False,False,2022-05-16
77,0,0,0,False,False,2022-05-28
78,0,0,0,False,False,2022-05-30
79,0,0,0,False,False,2022-05-21
80,0,0,0,False,False,2022-05-29
81,0,0,0,False,False,2022-05-29
82,0,0,0,False,False,2022-05-27
83,0,0,0,False,True,2022-05-06
84,0,0,0,False,False,2022-05-23
85,0,0,0,False,False,2022-05-12
86,0,0,0,False,False,2022-05-23
87,0,0,0,False,False,2022-05-21
88,0,0,0,False,True,2022-05-19
89,0,0,0,False,False,2022-05-17
90,0,0,0,False,False,2022-05-29
91,0,0,0,False,False,2022-05-05
92,0,0,0,False,False,2022-05-02
93,0,0,0,False,False,2022-05-27
94,0,0,0,False,False,2022-05-28
95,0,0,0,False,False,2022-05-25
96,0,0,0,False,False,2022-05-17
97,0,0,0,False,False,2022-05-27
98,0,0,0,False,False,2022-05-30
99,0,0,0,False,False,2022-05-03
100,0,0,0,False,False,2022-05-25
101,0,0,0,False,False,2022-05-30
102,0,0,0,False,False,2022-05-27
103,0,0,0,False,False,2022-05-19
104,0,0,0,False,False,2022-05-24
105,0,0,0,False,False,2022-05-08
106,0,0,0,False,False,2022-05-22
107,0,0,0,False,False,2022-05-09
108,0,0,0,False,False,2022-05-15
109,0,0,0,False,False,2022-05-09
110,0,0,0,False,False,2022-05-04
111,0,0,0,False,False,2022-05-01
112,0,0,0,False,False,2022-05-25
113,0,0,0,False,False,2022-05-04
114,0,0,0,False,False,2022-05-06
115,0,0,0,False,False,2022-05-20
116,0,0,0,False,False,2022-05-31
117,0,0,0,False,False,2022-05-24
118,0,0,0,False,False,2022-05-06
119,0,0,0,False,False,2022-05-26
120,0,0,0,False,False,2022-05-21
121,0,0,0,False,False,2022-05-01
122,0,0,0,False,False,2022-05-18
123,0,0,0,False,False,2022-05-09
124,0,0,0,False,False,2022-05-26
125,0,0,0,False,False,2022-05-21
126,0,0,0,False,False,2022-05-31
127,0,0,0,False,False,2022-05-24
128,0,0,0,False,False,2022-05-23
129,0,0,0,False,True,2022-05-12
130,0,0,0,False,False,2022-05-29
131,0,0,0,False,False,2022-05-20
132,0,0,0,False,False,2022-05-22
133,0,0,0,False,False,2022-05-12
134,0,0,0,False,False,2022-05-19
135,0,0,0,False,False,2022-05-05
136,0,0,0,False,False,2022-05-26
137,0,0,0,False,False,2022-05-19
138,0,0,0,False,False,2022-05-28
139,0,0,0,False,True,2022-05-27
140,0,0,0,False,False,2022-05-16
141,0,0,0,False,False,2022-05-22
142,0,0,0,False,False,2022-05-24
143,0,0,0,False,False,2022-05-17
144,0,0,0,False,False,2022-05-24
145,0,0,0,False,False,2022-05-06
146,0,0,0,False,False,2022-05-11
147,0,0,0,False,False,2022-05-16
148,0,0,0,False,False,2022-05-28
149,0,0,0,False,False,2022-05-25
150,0,0,0,False,False,2022-05-03
151,0,0,0,False,False,2022-05-22
152,0,0,0,False,False,2022-05-08
153,0,0,0,False,False,2022-05-03
154,0,0,0,False,False,2022-05-12
155,0,0,0,False,False,2022-05-15
156,0,0,0,False,False,2022-05-25
157,0,0,0,False,False,2022-05-29
158,0,0,0,False,False,2022-05-07
159,0,0,0,False,False,2022-05-27
160,0,0,0,False,False,2022-05-03
161,0,0,0,False,False,2022-05-09
162,0,0,0,False,False,2022-05-29
163,0,0,0,False,False,2022-05-15
164,0,0,0,False,False,2022-05-18
165,0,0,0,False,False,2022-05-22
166,0,0,0,False,False,2022-05-04
167,0,0,0,False,False,2022-05-12
168,0,0,0,False,False,2022-05-19
169,0,0,0,False,False,2022-05-25
170,0,0,0,False,False,2022-05-12
171,0,0,0,False,False,2022-05-05
172,0,0,0,False,False,2022-05-24
173,0,0,0,False,False,2022-05-07
174,0,0,0,False,False,2022-05-02
175,0,0,0,False,False,2022-05-09
176,0,0,0,False,False,2022-05-29
177,0,0,0,False,False,2022-05-13
178,0,0,0,False,False,2022-05-11
179,0,0,0,False,False,2022-05-30
180,0,0,0,False,False,2022-05-12
181,0,0,0,False,False,2022-05-31
182,0,0,0,False,True,2022-05-20
183,0,0,0,False,False,2022-05-08
184,0,0,0,False,False,2022-05-13
185,0,0,0,False,False,2022-05-19
186,0,0,0,False,False,2022-05-20
187,0,0,0,False,False,2022-05-03
188,0,0,0,False,False,2022-05-18
189,0,0,0,False,False,2022-05-19
190,0,0,0,False,False,2022-05-10
191,0,0,0,False,False,2022-05-19
192,0,0,0,False,False,2022-05-07
193,0,0,0,False,False,2022-05-26
194,0,0,0,False,False,2022-05-31
195,0,0,0,False,False,2022-05-06
196,0,0,0,False,False,2022-05-07
197,0,0,0,False,False,2022-05-29
198,0,0,0,False,False,2022-05-25
199,0,0,0,False,False,2022-05-29
200,0,0,0,False,False,2022-05-09
201,0,0,0,False,False,2022-05-15
202,0,0,0,False,False,2022-05-20
203,0,0,0,False,False,2022-05-13
204,0,0,0,False,False,2022-05-09
205,0,0,0,False,False,2022-05-10
206,0,0,0,False,False,2022-05-04
207,0,0,0,False,False,2022-05-26
208,0,0,0,False,False,2022-05-08
209,0,0,0,False,False,2022-05-24
210,0,0,0,False,False,2022-05-19
211,0,0,0,False,False,2022-05-25
212,0,0,0,False,False,2022-05-31
213,0,0,0,False,False,2022-05-05
214,0,0,0,False,False,2022-05-14
215,0,0,0,False,False,2022-05-22
216,0,0,0,False,False,2022-05-02
217,0,0,0,False,False,2022-05-20
218,0,0,0,False,False,2022-05-29
219,0,0,0,False,False,2022-05-09
220,0,0,0,False,False,2022-05-20
221,0,0,0,False,False,2022-05-26
222,0,0,0,False,False,2022-05-26
223,0,0,0,False,False,2022-05-19
224,0,0,0,False,False,2022-05-15
225,0,0,0,False,False,2022-05-17
226,0,0,0,False,False,2022-05-26
227,0,0,0,False,False,2022-05-08
228,0,0,0,False,False,2022-05-09
229,0,0,0,False,False,2022-05-19
230,0,0,0,False,False,2022-05-06
231,0,0,0,False,False,2022-05-23
232,0,0,0,False,False,2022-05-27
233,0,0,0,False,False,2022-05-17
234,0,0,0,False,False,2022-05-10
235,0,0,0,False,False,2022-05-06
236,0,0,0,False,False,2022-05-19
237,0,0,0,False,False,2022-05-24
238,0,0,0,False,False,2022-05-04
239,0,0,0,False,False,2022-05-02
240,0,0,0,False,False,2022-05-10
241,0,0,0,False,False,2022-05-04
242,0,0,0,False,False,2022-05-02
243,0,0,0,False,False,2022-05-17
244,0,0,0,False,False,2022-05-11
245,0,0,0,False,False,2022-05-16
246,0,0,0,False,False,2022-05-20
247,0,0,0,False,False,2022-05-06
248,0,0,0,False,False,2022-05-10
249,0,0,0,False,False,2022-05-24
250,0,0,0,False,False,2022-05-23
251,0,0,0,False,False,2022-05-07
252,0,0,0,False,False,2022-05-26
253,0,0,0,False,False,2022-05-24
254,0,0,0,False,False,2022-05-08
255,0,0,0,False,False,2022-05-15
256,0,0,0,False,False,2022-05-06
257,0,0,0,False,False,2022-05-01
258,0,0,0,False,False,2022-05-22
259,0,0,0,False,False,2022-05-04
260,0,0,0,False,False,2022-05-07
261,0,0,0,False,False,2022-05-26
262,0,0,0,False,False,2022-05-17
263,0,0,0,False,False,2022-05-16
264,0,0,0,False,False,2022-05-24
265,0,0,0,False,False,2022-05-10
266,0,0,0,False,False,2022-05-18
267,0,0,0,False,False,2022-05-09
268,0,0,0,False,False,2022-05-13
269,0,0,0,False,False,2022-05-25
270,0,0,0,False,False,2022-05-26
271,0,0,0,False,False,2022-05-10
272,0,0,0,False,False,2022-05-05
273,0,0,0,False,False,2022-05-25
274,0,0,0,False,False,2022-05-28
275,0,0,0,False,False,2022-05-16
276,0,0,0,False,False,2022-05-08
277,0,0,0,False,False,2022-05-22
278,0,0,0,False,False,2022-05-04
279,0,0,0,False,False,2022-05-31
280,0,0,0,False,False,2022-05-04
281,0,0,0,False,False,2022-05-10
282,0,0,0,False,False,2022-05-09
283,0,0,0,False,False,2022-05-18
284,0,0,0,False,False,2022-05-28
285,0,0,0,False,False,2022-05-11
286,0,0,0,False,True,2022-05-31
287,0,0,0,False,False,2022-05-25
288,0,0,0,False,False,2022-05-15
289,0,0,0,False,False,2022-05-23
290,0,0,0,False,False,2022-05-07
291,0,0,0,False,False,2022-05-09
292,0,0,0,False,False,2022-05-15
293,0,0,0,False,False,2022-05-16
294,0,0,0,False,False,2022-05-05
295,0,0,0,False,False,2022-05-03
296,0,0,0,False,False,2022-05-31
297,0,0,0,False,False,2022-05-06
298,0,0,0,False,False,2022-05-13
299,0,0,0,False,False,2022-05-25
300,0,0,0,False,False,2022-05-19
301,0,0,0,False,False,2022-05-27
302,0,0,0,False,False,2022-05-05
303,0,0,0,False,False,2022-05-13
304,0,0,0,False,False,2022-05-22
305,0,0,0,False,False,2022-05-08
306,0,0,0,False,False,2022-05-22
307,0,0,0,False,False,2022-05-15
308,0,0,0,False,False,2022-05-09
309,0,0,0,False,False,2022-05-20
310,0,0,0,False,False,2022-05-13
311,0,0,0,False,False,2022-05-27
312,0,0,0,False,False,2022-05-28
313,0,0,0,False,False,2022-05-17
314,0,0,0,False,False,2022-05-09
315,0,0,0,False,False,2022-05-07
316,0,0,0,False,False,2022-05-13
317,0,0,0,False,False,2022-05-19
318,0,0,0,False,False,2022-05-20
319,0,0,0,False,False,2022-05-07
320,0,0,0,False,False,2022-05-22
321,0,0,0,False,False,2022-05-31
322,0,0,0,False,False,2022-05-10
323,0,0,0,False,False,2022-05-15
324,0,0,0,False,False,2022-05-10
325,0,0,0,False,False,2022-05-23
326,0,0,0,False,False,2022-05-01
327,0,0,0,False,False,2022-05-16
328,0,0,0,False,False,2022-05-27
329,0,0,0,False,False,2022-05-21
330,0,0,0,False,False,2022-05-31
331,0,0,0,False,False,2022-05-09
332,0,0,0,False,False,2022-05-30
333,0,0,0,False,False,2022-05-07
334,0,0,0,False,False,2022-05-01
335,0,0,0,False,False,2022-05-28
336,0,0,0,False,False,2022-05-27
337,0,0,0,False,False,2022-05-29
338,0,0,0,False,False,2022-05-19
339,0,0,0,False,False,2022-05-10
340,0,0,0,False,False,2022-05-05
341,0,0,0,False,False,2022-05-11
342,0,0,0,False,False,2022-05-22
343,0,0,0,False,False,2022-05-26
344,0,0,0,False,False,2022-05-02
345,0,0,0,False,False,2022-05-24
346,0,0,0,False,False,2022-05-26
347,0,0,0,False,False,2022-05-25
348,0,0,0,False,False,2022-05-23
349,0,0,0,False,False,2022-05-03
350,0,0,0,False,False,2022-05-06
351,0,0,0,False,False,2022-05-01
352,0,0,0,False,False,2022-05-22
353,0,0,0,False,False,2022-05-01
354,0,0,0,False,False,2022-05-20
355,0,0,0,False,False,2022-05-07
356,0,0,0,False,False,2022-05-02
357,0,0,0,False,False,2022-05-21
358,0,0,0,False,False,2022-05-28
359,0,0,0,False,False,2022-05-27
360,0,0,0,False,False,2022-05-16
361,0,0,0,False,False,2022-05-30
362,0,0,0,False,False,2022-05-08
363,0,0,0,False,False,2022-05-22
364,0,0,0,False,False,2022-05-24
365,0,0,0,False,False,2022-05-05
366,0,0,0,False,False,2022-05-24
